position_latitude,position_longitude,date,year,month
61.930165,5.1341,2021-11-04,2021,11
22.245,91.731665,2021-09-23,2021,9
22.245,91.731665,2021-09-23,2021,9
59.23933,5.1475,2021-09-07,2021,9
59.23933,5.1475,2021-09-07,2021,9
58.901666667,10.606833333,2021-07-26,2021,7
58.901666667,10.606833333,2021-07-26,2021,7
58.17203,2.11543,2021-07-14,2021,7
58.17203,2.11543,2021-07-14,2021,7
65.085175,11.7725,2021-07-07,2021,7
58.458915,8.7691,2021-07-07,2021,7
58.458915,8.7691,2021-07-07,2021,7
63.87483,9.7085,2021-07-04,2021,7
63.87483,9.7085,2021-07-04,2021,7
65.67833,12.136665,2021-06-22,2021,6
65.67833,12.136665,2021-06-22,2021,6
60.13,5.431665,2021-05-30,2021,5
60.13,5.431665,2021-05-30,2021,5
70.438165,28.05848,2021-05-07,2021,5
70.438165,28.05848,2021-05-07,2021,5
59.969166667,5.3345,2021-04-15,2021,4
59.969166667,5.3345,2021-04-15,2021,4
70.63333,23.45,2021-04-04,2021,4
70.63333,23.45,2021-04-04,2021,4
67.9765,15.35833,2021-02-26,2021,2
67.9765,15.35833,2021-02-26,2021,2
18.816665,106.016665,2021-01-25,2021,1
18.816665,106.016665,2021-01-25,2021,1
59.15,5.576665,2021-01-25,2021,1
59.15,5.576665,2021-01-25,2021,1
60.37833,5.171665,2021-01-17,2021,1
60.37833,5.171665,2021-01-17,2021,1
70.08333,21.45,2021-01-05,2021,1
70.08333,21.45,2021-01-05,2021,1
5.295995,5.295995,2020-06-12,2020,6
5.295995,5.295995,2020-06-12,2020,6
15.0195,15.0195,2020-05-16,2020,5
-94.701665,-94.701665,2020-01-14,2020,1
-94.701665,-94.701665,2020-01-14,2020,1
56.99833,11.77833,2019-09-19,2019,9
56.99833,11.77833,2019-09-19,2019,9
62.73533166666667,7.168,2019-09-08,2019,9
62.73533166666667,7.168,2019-09-08,2019,9
59.12773,11.155265,2019-07-23,2019,7
59.12773,11.155265,2019-07-23,2019,7
60.051665,5.70483,2019-07-11,2019,7
60.122665,5.376665,2019-07-10,2019,7
60.122665,5.376665,2019-07-10,2019,7
61.92448,5.11948,2019-06-24,2019,6
61.92448,5.11948,2019-06-24,2019,6
1.24118,103.917775,2019-05-30,2019,5
1.24118,103.917775,2019-05-30,2019,5
61.92915,5.12183,2019-05-19,2019,5
61.92915,5.12183,2019-05-19,2019,5
71.065,28.46833,2019-05-17,2019,5
71.065,28.46833,2019-05-17,2019,5
69.526165,17.417,2019-04-18,2019,4
69.526165,17.417,2019-04-18,2019,4
61.34077,5.059575,2019-03-23,2019,3
61.34077,5.059575,2019-03-23,2019,3
57.10791833333333,3.09217,2019-03-19,2019,3
57.10791833333333,3.09217,2019-03-19,2019,3
60.78798,4.719155,2019-03-10,2019,3
60.78798,4.719155,2019-03-10,2019,3
70.95,25.816665,2019-02-19,2019,2
70.95,25.816665,2019-02-19,2019,2
54.49333,13.905,2019-01-25,2019,1
54.49333,13.905,2019-01-25,2019,1
60.79333,5.06833,2019-01-23,2019,1
60.79333,5.06833,2019-01-23,2019,1
62.471165,6.125,2019-01-22,2019,1
62.471165,6.125,2019-01-22,2019,1
60.476665,4.99,2018-11-25,2018,11
60.476665,4.99,2018-11-25,2018,11
60.63833,4.865,2018-11-08,2018,11
60.63833,4.865,2018-11-08,2018,11
59.44995,10.49354,2018-10-16,2018,10
59.44995,10.49354,2018-10-16,2018,10
60.34,5.175,2018-10-06,2018,10
62.531665,6.15833,2018-10-06,2018,10
60.34,5.175,2018-10-06,2018,10
62.531665,6.15833,2018-10-06,2018,10
51.89183,3.99133,2018-09-24,2018,9
51.89183,3.99133,2018-09-24,2018,9
60.1503,5.533995,2018-08-26,2018,8
60.1503,5.533995,2018-08-26,2018,8
68.237165,16.15278,2018-08-20,2018,8
68.237165,16.15278,2018-08-20,2018,8
58.117,7.051165,2018-07-27,2018,7
58.117,7.051165,2018-07-27,2018,7
59.209165,7.718,2018-07-15,2018,7
59.209165,7.718,2018-07-15,2018,7
77.591665,14.88,2018-07-14,2018,7
77.591665,14.88,2018-07-14,2018,7
77.591665,14.88,2018-07-12,2018,7
20.279865,86.6699,2018-05-11,2018,5
20.279865,86.6699,2018-05-11,2018,5
68.152315,14.18543,2018-03-25,2018,3
68.152315,14.18543,2018-03-25,2018,3
57.59816,9.959825,2018-03-15,2018,3
57.59816,9.959825,2018-03-15,2018,3
67.28798,14.361665,2018-02-12,2018,2
36.11675,-5.36833,2018-01-25,2018,1
36.11675,-5.36833,2018-01-25,2018,1
62.140895,5.016125,2018-01-22,2018,1
62.140895,5.016125,2018-01-22,2018,1
70.629,29.0,2017-11-18,2017,11
70.629,29.0,2017-11-18,2017,11
62.430425,6.503645,2017-10-23,2017,10
62.430425,6.503645,2017-10-23,2017,10
60.4044,5.29195,2017-10-20,2017,10
60.4044,5.29195,2017-10-20,2017,10
63.32228,8.29398,2017-10-04,2017,10
63.32228,8.29398,2017-10-04,2017,10
53.89333,9.145,2017-09-25,2017,9
53.89333,9.145,2017-09-25,2017,9
1.29083,104.024,2017-07-11,2017,7
1.29083,104.024,2017-07-11,2017,7
7.166665,106.63333,2017-06-20,2017,6
7.166665,106.63333,2017-06-20,2017,6
58.927665,5.55083,2017-06-06,2017,6
58.927665,5.55083,2017-06-06,2017,6
62.30483,7.00333,2017-05-17,2017,5
53.32583,7.17183,2017-04-06,2017,4
62.205,6.485,2017-03-07,2017,3
70.47583,22.16783,2017-02-25,2017,2
53.541665,9.870165,2017-02-03,2017,2
65.175565,24.53923,2017-02-02,2017,2
65.175565,24.53923,2017-02-02,2017,2
68.805,15.425,2017-02-01,2017,2
70.025395,20.98623,2017-01-16,2017,1
70.025395,20.98623,2017-01-16,2017,1
57.59,9.96833,2016-12-11,2016,12
57.59,9.96833,2016-12-11,2016,12
69.6595,18.97083,2016-11-24,2016,11
69.6595,18.97083,2016-11-24,2016,11
67.28333,14.38333,2016-11-13,2016,11
67.28333,14.38333,2016-11-13,2016,11
1.196665,103.885,2016-10-12,2016,10
1.196665,103.885,2016-10-12,2016,10
64.785215,11.72355,2016-10-05,2016,10
64.785215,11.72355,2016-10-05,2016,10
66.0545,12.642165,2016-10-03,2016,10
66.0545,12.642165,2016-10-03,2016,10
32.0,126.38333,2016-10-02,2016,10
32.0,126.38333,2016-10-02,2016,10
64.857925,11.27815,2016-09-24,2016,9
64.857925,11.27815,2016-09-24,2016,9
71.009665,24.55733,2016-09-23,2016,9
71.009665,24.55733,2016-09-23,2016,9
68.907935,15.066665,2016-09-12,2016,9
68.907935,15.066665,2016-09-12,2016,9
64.2447,10.28252,2016-09-09,2016,9
64.2447,10.28252,2016-09-09,2016,9
50.891665,1.41733,2016-08-21,2016,8
50.891665,1.41733,2016-08-21,2016,8
68.38,14.991665,2016-07-25,2016,7
68.38,14.991665,2016-07-25,2016,7
59.87283,10.60033,2016-07-21,2016,7
59.87283,10.60033,2016-07-21,2016,7
59.8835,10.72333,2016-07-04,2016,7
59.8835,10.72333,2016-07-04,2016,7
65.954,12.29254,2016-07-02,2016,7
65.954,12.29254,2016-07-02,2016,7
59.487833333333334,10.3755,2016-06-23,2016,6
59.87533,10.75833,2016-06-10,2016,6
59.87533,10.75833,2016-06-10,2016,6
62.09253,7.09245,2016-06-01,2016,6
62.09253,7.09245,2016-06-01,2016,6
61.055015,5.503465,2016-05-23,2016,5
61.055015,5.503465,2016-05-23,2016,5
1.21933,103.685,2016-05-12,2016,5
1.21933,103.685,2016-05-12,2016,5
61.30783,4.794665,2016-04-15,2016,4
61.30783,4.794665,2016-04-15,2016,4
60.80833,5.039665,2016-02-07,2016,2
60.80833,5.039665,2016-02-07,2016,2
35.715,131.921665,2016-01-09,2016,1
53.366665,3.675,2015-11-24,2015,11
53.366665,3.675,2015-11-24,2015,11
59.38333,5.266665,2015-11-19,2015,11
59.38333,5.266665,2015-11-19,2015,11
36.296665,122.90833,2015-10-12,2015,10
36.296665,122.90833,2015-10-12,2015,10
69.77533,20.569,2015-09-27,2015,9
69.77533,20.569,2015-09-27,2015,9
68.40833,16.02333,2015-09-13,2015,9
-7.176665,117.95333,2015-09-03,2015,9
-7.176665,117.95333,2015-09-03,2015,9
62.72833,7.188165,2015-08-09,2015,8
62.72833,7.188165,2015-08-09,2015,8
56.666665,3.9,2015-07-20,2015,7
56.666665,3.9,2015-07-20,2015,7
59.56033,5.2445,2015-07-05,2015,7
59.56033,5.2445,2015-07-05,2015,7
41.43,-69.45333,2015-07-04,2015,7
41.43,-69.45333,2015-07-04,2015,7
62.685,7.096665,2015-06-30,2015,6
62.685,7.096665,2015-06-30,2015,6
31.12333,130.646665,2015-06-24,2015,6
31.12333,130.646665,2015-06-24,2015,6
69.0202,15.12635,2015-06-01,2015,6
69.0202,15.12635,2015-06-01,2015,6
51.39883,4.199665,2015-05-29,2015,5
51.39883,4.199665,2015-05-29,2015,5
58.91583,11.0985,2015-04-25,2015,4
58.91583,11.0985,2015-04-25,2015,4
67.89783,13.0445,2015-04-03,2015,4
67.89783,13.0445,2015-04-03,2015,4
40.96333,28.92333,2015-04-02,2015,4
40.96333,28.92333,2015-04-02,2015,4
68.18983,14.569165,2015-03-26,2015,3
68.18983,14.569165,2015-03-26,2015,3
58.973,5.742665,2015-03-03,2015,3
58.973,5.742665,2015-03-03,2015,3
60.405665,5.28983,2015-02-01,2015,2
60.405665,5.28983,2015-02-01,2015,2
55.24333,12.85333,2015-01-28,2015,1
55.24333,12.85333,2015-01-28,2015,1
51.37033,4.1085,2015-01-16,2015,1
